type,c1,c2,c3
v,1.0,1.0,1.0
v,1.0,-1.0,1.0
v,-1.0,-1.0,1.0
v,-1.0,1.0,1.0
v,1.0,1.0,-1.0
v,1.0,-1.0,-1.0
v,-1.0,-1.0,-1.0
v,-1.0,1.0,-1.0
f,3,2,1,0
f,5,6,7,4
f,4,7,3,0
f,2,6,5,1
f,1,5,4,0
f,7,6,2,3
